FAC_ID,COUNTRY_PARK_EN,COUNTRY_PARK_TC,FACILITY_NAME_EN,FACILITY_NAME_TC,LOCATION_EN,LOCATION_TC,TYPE_OF_WATER_DISPENSER_EN,TYPE_OF_WATER_DISPENSER_TC,SERVICE_HOUR,TYPE_OF_VENUE_EN,TYPE_OF_VENUE_TC,WATER_TEMPERATURE_EN,WATER_TEMPERATURE_TC,OBJECTID,GeometryEasting,GeometryNorthing
PSL/WS/001,PAT SIN LENG COUNTRY PARK,八仙嶺郊野公園,Tai Mei Tuk Country Park Management Centre (Pat Sin Leng Nature Trail) Water Filling Station,大美督郊野公園管理站(八仙嶺自然教育徑)加水站,Tai Mei Tuk Country Park Management Centre (Pat Sin Leng Nature Trail),大美督郊野公園管理站(八仙嶺自然教育徑),water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,1,842360.0489999996,837414.0969999991
PC/WS/002,Excluded Area,不包括地區,Tai Mei Tuk BBQ Site Water Filling Station,大美督燒烤場地加水站,Tai Mei Tuk BBQ Site,大美督燒烤場地,water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,2,842040.6179999998,836552.4409999996
TT/WS/001,TAI TAM COUNTRY PARK,大潭郊野公園,Tai Tam BBQ Site Water Filling Station,大潭燒烤場地加水站,Tai Tam BBQ Site,大潭燒烤場地,water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,3,838949.9704499999,813383.2913499996
SKW/WS/001,SAI KUNG WEST COUNTRY PARK,西貢西郊野公園,Pak Tam Chung P.H.A.B. Site (Pak Tam Chung Family Walk and MacLehose Trail Section 1) Water Filling Station,北潭涌傷健樂園(北潭涌家樂徑及麥理浩徑第一段)加水站,Pak Tam Chung P.H.A.B. Site (Pak Tam Chung Family Walk and MacLehose Trail Section 1),北潭涌傷健樂園(北潭涌家樂徑及麥理浩徑第一段),water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,4,851053.5199999996,828677.6380000003
SKW/WS/002,SAI KUNG WEST COUNTRY PARK,西貢西郊野公園,Pak Tam Chung Family Walk Water Filling Station,北潭涌家樂徑加水站,Pak Tam Chung Family Walk,北潭涌家樂徑,water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,5,850882.9900000002,828893.1400000006
MOS/WS/001,MA ON SHAN COUNTRY PARK,馬鞍山郊野公園,Nai Chung BBQ Site Water Filling Station,泥涌燒烤場地加水站,Nai Chung BBQ Site,泥涌燒烤場地,water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,6,844671.6997499997,832270.0579749998
TL/WS/003,TAI LAM COUNTRY PARK,大欖郊野公園,Tai Tong BBQ Site No. 1(Tai Tong Nature Trail and Tai Tong Tree Walk) Water Filling Station,大棠燒烤場地1號(大棠自然教育徑及大棠樹木研習徑)加水站,Tai Tong BBQ Site No. 1(Tai Tong Nature Trail and Tai Tong Tree Walk ),大棠燒烤場地1號(大棠自然教育徑及大棠樹木研習徑),water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,7,821436.6852000002,830040.9154000003
SM/WS/001,SHING MUN COUNTRY PARK,城門郊野公園,Shing Mun BBQ Site (MacLehose Trail Section 6) Water Filling Station,城門燒烤場地(麥理浩徑第六段)加水站,Shing Mun BBQ Site (MacLehose Trail Section 6),城門燒烤場地(麥理浩徑第六段),water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,8,832917,826519
SKW/WS/003,SAI KUNG WEST COUNTRY PARK,西貢西郊野公園,Pak Tam Chung Kiosk (Pak Tam Chung Family Walk and MacLehose Trail Section 1) Water Filling Station,北潭涌小食亭(北潭涌家樂徑及麥理浩徑第一段)加水站,Pak Tam Chung Kiosk (Pak Tam Chung Family Walk and MacLehose Trail Section 1),北潭涌小食亭(北潭涌家樂徑及麥理浩徑第一段),water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,9,850932,828709
SKW/WS/005,Excluded Area,不包括地區,Tai Mong Tsai BBQ Site Water Filling Station,大網仔燒烤場地加水站,Tai Mong Tsai BBQ Site,大網仔燒烤場地,water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,10,847320,828536
SKE/WS/001,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,Pak Tam Au (MacLehose Trail Section 2) Water Filling Station,北潭凹 (麥理浩徑第二段)加水站,Pak Tam Au (MacLehose Trail Section 2),北潭凹(麥理浩徑第二段),water filling station,加水站,0:00 - 24:00,Outdoor,室外,Ambient temperature,環境溫度,11,852295,831376
